id,picname,latitude,longitude,heading,pitch,zoom,title,date,rights,creator,description,other,xml_resource,photo_file,photo_file_resource,thumbnail_file,thumbnail_file_resource
107,1500107.png,22.990372,120.202380,269.77,-5.89,,臺南神社,1939,中央研究院臺灣史研究所,臺灣總督府交通局鐵道部《風光台湾》,落成於1923年，位於紀念北白川宮能久親王的「御遺跡所」東側，主祭神即是神格化的北白川宮親王。神社外苑東北角的武德殿建於1936年，緊鄰孔廟，是當時日人宣揚傳統武道的場所，目前是忠義國小的禮堂。,,tnch1500107,tainan_old_photos/photos/107_1500107_臺南神社.png,p_1500107,tainan_old_photos/thumbnails/107_1500107_臺南神社.png,s_1500107
108,1500108.png,22.990227,120.202348,278.99,8.48,,臺南神社,1938,中央研究院臺灣史研究所,山崎鋆一郎著《臺灣の風光》,臺南神社腹地廣闊，包括內苑及外苑，照片中大鳥居即位於內苑入口處。戰後，內苑幾經變遷，從忠烈祠、體育館到目前的公園及地下停車場，外苑則在1950年代初期改為忠義國小至今，校園內還留存日治時期建造的武德殿。,,tnch1500108,tainan_old_photos/photos/108_1500108_臺南神社.png,p_1500108,tainan_old_photos/thumbnails/108_1500108_臺南神社.png,s_1500108
109,1500109.png,22.989855,120.200763,10.10,-3.12,,北白川宮臺南御遺跡地,1914,中央研究院臺灣史研究所,臺灣寫真會發行《臺灣寫真帖》第貳集,日本皇族北白川宮能久親王於1895年率軍來臺，後病逝於臺南莊雅橋（磚雅橋）旁的吳汝祥宅邸，當局於1901年著手將此地興建為臺南御遺跡所，保留親王病逝時的寢室，修築拜殿與華表，並附設博物館，於翌年完工。,,tnch1500109,tainan_old_photos/photos/109_1500109_北白川宮臺南御遺跡地.png,p_1500109,tainan_old_photos/thumbnails/109_1500109_北白川宮臺南御遺跡地.png,s_1500109
110,1500110.png,22.993343,120.203157,322.61,-10.16,,臺南郵便局,1915,中央研究院臺灣史研究所,臺灣總督府民政部編《記念臺灣寫真帖》,建於1910年，由森山松之助所設計，建築物兩側的衛塔十分醒目。郵便局在戰後仍持續其業務，但於1973年遭到拆除，現為中華電信機房。,,tnch1500110,tainan_old_photos/photos/110_1500110_臺南郵便局.png,p_1500110,tainan_old_photos/thumbnails/110_1500110_臺南郵便局.png,s_1500110
111,1500111.png,22.993530,120.202344,47.17,-4.99,,臺南郵便局,1912,國立臺灣大學圖書館,山川岩吉編《臺灣大觀》,日治時期，時任臺灣總督府營繕課技師的森山松之助在臺灣設計了多座官廳建築，臺南郵便局便是他1910年的作品。,,tnch1500111,tainan_old_photos/photos/111_1500111_臺南郵便局.png,p_1500111,tainan_old_photos/thumbnails/111_1500111_臺南郵便局.png,s_1500111
112,1500112.png,22.993237,120.203257,318.48,-7.84,,臺南郵便局,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,建於1910年，屬於大型的官廳建築，設計者為森山松之助。正面兩側的衛塔一度失去蹤影，建築本體於1973年遭到拆除。,,tnch1500112,tainan_old_photos/photos/112_1500112_臺南郵便局.png,p_1500112,tainan_old_photos/thumbnails/112_1500112_臺南郵便局.png,s_1500112
113,1500113.png,22.993385,120.202997,337.38,-7.15,,臺南郵便局,1895-1945,中央研究院臺灣史研究所,費邁克集藏〈臺灣臺南郵便局〉,臺南郵便局在當時可說是非常宏偉醒目的官廳建築，和日後1919年落成的臺灣總督府同屬於「辰野式風格」，外觀都有著紅磚與灰白色橫條飾帶。除了本局，市內還設立了六間支局。,,tnch1500113,tainan_old_photos/photos/113_1500113_臺南郵便局.png,p_1500113,tainan_old_photos/thumbnails/113_1500113_臺南郵便局.png,s_1500113
114,1500114.png,22.992395,120.205473,125.24,-7.63,,臺南市歷史館,1939,國立臺灣圖書館,臺南市役所《台南市要览》,由臺南市土木課於1936年設計興建的二層樓建築，耗資三萬圓，外觀為現代建築結合東方屋頂的近世式建築風格，於翌年完工，用於展示臺灣歷史文物，展覽品有朱印狀、熱蘭遮城模型、鄭成功像、臺灣古地圖、黑旗軍軍旗等等。,,tnch1500114,tainan_old_photos/photos/114_1500114_臺南市歷史館.png,p_1500114,tainan_old_photos/thumbnails/114_1500114_臺南市歷史館.png,s_1500114
115,1500115.png,22.992226,120.205397,80.96,-9.69,,臺南歷史館,1895-1945,中央研究院臺灣史研究所,費邁克集藏，Manufactured By TAISHO〈（臺南名所）臺南歷史館〉,臺灣史料館原設於安平，在臺灣博覽會時借用商品陳列館作為臺灣歷史館展覽之用，後於臺南州廳旁興建臺南歷史館，首任主任為齋藤悌亮，館內依年代展出高砂時代、荷蘭時代、鄭氏時代、清領時代與日治時代的史料文物，樓梯掛有由小早川篤四郎繪製的二十張臺灣歷史畫。館舍於二戰時遭美軍轟炸損毀。,,tnch1500115,tainan_old_photos/photos/115_1500115_臺南歷史館.png,p_1500115,tainan_old_photos/thumbnails/115_1500115_臺南歷史館.png,s_1500115
116,1500116.png,22.995042,120.207761,16.40,-13.11,,臺南醫院,1912,國立臺灣大學圖書館,山川岩吉編《臺灣大觀》,源自1895年日人以清代巡道衙署作為政廳，內部設置醫局。隔年成立臺南病院，此後數次改制更名，擴充病室與醫院用地。1901年由永福國小南側遷至現址，二戰時多數院舍及設備遭炸燬，戰後重建，現為衛生福利部臺南醫院。,,tnch1500116,tainan_old_photos/photos/116_1500116_臺南醫院.png,p_1500116,tainan_old_photos/thumbnails/116_1500116_臺南醫院.png,s_1500116
117,1500117.png,22.992836,120.197997,160.01,-8.46,,臺灣南部無盡株式會社,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,設立於1926年，承接大正無盡株式會社因經營不善解散後的債權債務，提供南部一般民眾與中小農工商業金融服務，在嘉義、高雄、屏東均設有分店。戰後與臺灣其他三家無盡會社合併改組，現為臺灣中小企業銀行。,,tnch1500117,tainan_old_photos/photos/117_1500117_臺灣南部無盡株式會社.png,p_1500117,tainan_old_photos/thumbnails/117_1500117_臺灣南部無盡株式會社.png,s_1500117
118,1500118.png,22.994127,120.203294,145.57,-3.85,,臺灣商工銀行臺南支店,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,以開發臺灣中南部產業為目的，於1910年在屏東設立，創業時資本額為百萬圓，後來陸續合併了臺灣貯蓄銀行、新高銀行、嘉義銀行，但在1920年代遭受經濟不景氣的衝擊而縮減規模。戰後改組，現為第一商業銀行。,,tnch1500118,tainan_old_photos/photos/118_1500118_臺灣商工銀行臺南支店.png,p_1500118,tainan_old_photos/thumbnails/118_1500118_臺灣商工銀行臺南支店.png,s_1500118
119,1500119.png,22.994584,120.201494,75.67,-9.11,,臺灣銀行臺南支店,1913,中央研究院臺灣史研究所,臺灣銀行《漢譯臺灣銀行十年志》,日本國會於1897年通過《臺灣銀行法》，殖民政府旋即展開籌備臺灣銀行的工作。臺南支店於1899年10月初開業，為樓高兩層的圓頂建築，是當時的地標。,,tnch1500119,tainan_old_photos/photos/119_1500119_臺灣銀行臺南支店.png,p_1500119,tainan_old_photos/thumbnails/119_1500119_臺灣銀行臺南支店.png,s_1500119
120,1500120.png,22.994804,120.201576,109.90,-14.67,,臺灣銀行臺南支店,1939,中央研究院臺灣史研究所,名倉喜作編纂《臺灣銀行四十年誌》,1920年，臺南改制成臺南市，臺灣銀行臺南支店所在的「下橫街」則改為「大宮町」（今永福路一帶）。日治時期的臺灣銀行除了臺北本行，全臺灣還包括十五間支店，臺南支店於1899年10月開業。,,tnch1500120,tainan_old_photos/photos/120_1500120_臺灣銀行臺南支店.png,p_1500120,tainan_old_photos/thumbnails/120_1500120_臺灣銀行臺南支店.png,s_1500120
121,1500121.png,22.994541,120.201479,67.01,-10.11,,臺灣銀行臺南支店,1910,國立臺灣大學圖書館,臺灣銀行《臺灣銀行十年志》,位於下橫街，光復後臺銀先後接收三和銀行及臺灣儲蓄銀行的兩間臺南支店，並遷往府前路、開山路口。原址目前為華南銀行臺南分行。,,tnch1500121,tainan_old_photos/photos/121_1500121_臺灣銀行臺南支店.png,p_1500121,tainan_old_photos/thumbnails/121_1500121_臺灣銀行臺南支店.png,s_1500121
122,1500122.png,22.993080,120.208876,10.86,-8.38,,臺南憲兵分隊,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,日治初期臺灣總督府即設置了直轄的臺灣憲兵隊，負責掃蕩討伐匪徒，執行司法警察事務，包含臺北、彰化、臺南、鳳山四個區隊，編制三千餘名憲兵；後來又改組為臺北、臺中、臺南三個分隊，直屬中央，在總督府統治穩固後逐漸裁減。,,tnch1500122,tainan_old_photos/photos/122_1500122_臺南憲兵分隊.png,p_1500122,tainan_old_photos/thumbnails/122_1500122_臺南憲兵分隊.png,s_1500122
123,1500123.png,22.994236,120.199863,177.26,-11.67,,戎館,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,戎館（戎座）原為宮古座附屬的電影院，於1912年興建，原址在內新街，經常放映中國影片以招攬臺灣觀眾。後因年久失修，於1934年搬遷改建於田町世界館斜對面，設有舞臺可兼作戲劇表演之用，能容納八百名觀眾，戰後改名為赤崁戲院。,,tnch1500123,tainan_old_photos/photos/123_1500123_戎館.png,p_1500123,tainan_old_photos/thumbnails/123_1500123_戎館.png,s_1500123
124,1500124.png,22.996178,120.202127,358.36,-4.06,,關帝廟,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,相傳為1665年由明鄭寧靖王府的關帝廳改建而成，清雍正5年（1727年）奉旨晉升為「祀典武廟」，俗稱「大關帝廟」，主祀武聖關公。各殿屋脊高低起伏有致，朱紅山牆綿延不絕，氣勢壯觀且極具美感。國定古蹟。,,tnch1500124,tainan_old_photos/photos/124_1500124_關帝廟.png,p_1500124,tainan_old_photos/thumbnails/124_1500124_關帝廟.png,s_1500124
125,1500125.png,22.992270,120.204751,296.18,-7.44,,警察會館,1895-1945,中央研究院臺灣史研究所,費邁克集藏，第二回臺灣水利大會發行〈南國の名都　臺南の印象〉,合同廳舍的建造分成兩個階段。中央高塔是1930年為了昭和天皇登基所建的「御大典紀念塔」，具消防功能；高塔兩側、樓高三層的建築則於1938年完工，警察會館位於右翼，左翼和端部分別為消防詰所與錦町派出所。現駐有臺南市政府消防局第七大隊中正分隊。,,tnch1500125,tainan_old_photos/photos/125_1500125_警察會館.png,p_1500125,tainan_old_photos/thumbnails/125_1500125_警察會館.png,s_1500125
126,1500126.png,22.990826,120.204796,43.34,-2.93,,臺南警察署,1932,中央研究院臺灣史研究所,臺灣建築會編《臺灣建築會誌》第四輯第二號,臺灣的現代警察制度始於日治時期。警察署落成於1931年底，建築外觀左右對稱，牆壁為磚造，貼有北投窯業所產的面磚。戰後，警察署改為臺南市警察局。2010年縣市合併前夕，警局遷至新營區，而原址後來成為臺南市立美術館預定地。,,tnch1500126,tainan_old_photos/photos/126_1500126_臺南警察署.png,p_1500126,tainan_old_photos/thumbnails/126_1500126_臺南警察署.png,s_1500126
127,1500127.png,22.993779,120.201542,154.78,-1.27,,再生堂醫院,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,再生堂醫院為高再得醫生所建立，他師從來自蘇格蘭的蘭大衛醫生在彰化學醫，後來在臺南開設醫院，主治內科和小兒科，一邊行醫一邊傳教，並參加臺灣文化協會、乘馬會等民間團體，其子為高俊明牧師。,,tnch1500127,tainan_old_photos/photos/127_1500127_再生堂醫院.png,p_1500127,tainan_old_photos/thumbnails/127_1500127_再生堂醫院.png,s_1500127
130,1500130.png,22.998325,120.197417,12.04,-3.30,,榮本商行,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,榮本商行位於永樂町一丁目，代理日本合同油脂グリセリン株式會社製造生產的レコード石鹼（肥皂），為臺灣中南部總代理店。,,tnch1500130,tainan_old_photos/photos/130_1500130_榮本商行.png,p_1500130,tainan_old_photos/thumbnails/130_1500130_榮本商行.png,s_1500130
131,1500131.png,22.993103,120.201035,316.49,-10.53,,榮安齒科醫院,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,榮安齒科位於大宮町一丁目，院長為鄭池，醫院外牆上有「齒」字的紋飾。,,tnch1500131,tainan_old_photos/photos/131_1500131_榮安齒科醫院.png,p_1500131,tainan_old_photos/thumbnails/131_1500131_榮安齒科醫院.png,s_1500131
